name|description
Notebooks|Computadores portáteis para uso profissional, doméstico e corporativo.
Desktops|Computadores de mesa para trabalho, estudo e alto desempenho.
Monitores|Telas e monitores para uso profissional, gamer e corporativo.
Processadores|CPUs e unidades de processamento para computadores e servidores.
Placas de Vídeo|GPUs para processamento gráfico, jogos e renderização.
Memória RAM|Módulos de memória para desempenho e multitarefa.
Armazenamento|HDs, SSDs e dispositivos para armazenamento de dados.
Placas-Mãe|Componentes principais para conexão e gerenciamento do hardware.
Periféricos|Mouse, teclados, webcams e acessórios diversos.
Redes|Equipamentos de rede como roteadores, switches e access points.
Impressoras|Equipamentos para impressão, digitalização e multifuncionais.
Servidores|Hardware e soluções para ambientes corporativos e datacenters.
Fontes de Alimentação|Fontes de energia para computadores e servidores.
Gabinetes|Estruturas para montagem e proteção de componentes.
Acessórios Gamer|Headsets, controles, cadeiras e acessórios para jogos.
